# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
2000 0.00757417
4000 0.00907068
6000 0.0096466
8000 0.0147993
10000 0.0155803
12000 0.0176003
14000 0.0176963
16000 0.0144983
18000 0.0184642
20000 0.019062
22000 0.0241056
24000 0.0252312
26000 0.0233857
28000 0.0233508
30000 0.0232941
32000 0.0233159
34000 0.0229232
36000 0.022644
38000 0.0258377
40000 0.025589
42000 0.0246597
44000 0.0269197
46000 0.0237565
48000 0.0270201
50000 0.0261126
52000 0.0242801
54000 0.0279145
56000 0.0261649
58000 0.0292277
60000 0.0308813
62000 0.0292845
64000 0.0317539
66000 0.0337216
68000 0.0308464
70000 0.0308639
72000 0.0313176
74000 0.0308726
76000 0.0305061
78000 0.0297295
80000 0.0343543
82000 0.0324782
84000 0.0303229
86000 0.0314703
88000 0.028726
90000 0.0271117
92000 0.0335384
94000 0.0314442
96000 0.0291623
98000 0.0302182
100000 0.0302967
102000 0.0304058
104000 0.0275262
106000 0.0242976
108000 0.0274695
110000 0.0329188
112000 0.0311387
114000 0.032356
116000 0.0343892
118000 0.0348429
120000 0.0361518
122000 0.0291187
124000 0.0337609
126000 0.030048
128000 0.0325087
130000 0.0295201
132000 0.0305454
134000 0.0305672
136000 0.03476
138000 0.0379058
140000 0.0364092
142000 0.031767
144000 0.035397
146000 0.0316405
148000 0.0363569
150000 0.0322077
152000 0.0388525
154000 0.0388351
156000 0.0334729
158000 0.0351745
160000 0.0318412
162000 0.0318979
164000 0.0338962
166000 0.0334293
168000 0.0358944
170000 0.0373298
172000 0.0353883
174000 0.0329407
176000 0.0323822
178000 0.0350393
180000 0.0349171
182000 0.0346117
184000 0.0322731
186000 0.0354843
188000 0.0361257
190000 0.0370637
192000 0.0391143
194000 0.0361867
196000 0.0351134
198000 0.0344459
200000 0.0345201
202000 0.0344503
204000 0.0388569
206000 0.0371466
208000 0.0354625
210000 0.0313351
212000 0.0306763
214000 0.0291841
216000 0.0382243
218000 0.0397775
220000 0.0362173
222000 0.0353534
224000 0.0318761
226000 0.03774
228000 0.0328883
230000 0.0301876
232000 0.0343935
234000 0.0340838
236000 0.0296946
238000 0.0314398
240000 0.035733
242000 0.0389747
244000 0.0378141
246000 0.0363438
248000 0.0349127
250000 0.0309468
252000 0.0335428
254000 0.037055
256000 0.0365052
258000 0.0362958
260000 0.0366579
262000 0.0354319
264000 0.0364311
266000 0.0332417
268000 0.0339747
270000 0.0361693
272000 0.0348473
274000 0.0323735
276000 0.0374607
278000 0.0359773
280000 0.0382679
282000 0.0348037
284000 0.0381806
286000 0.0369241
288000 0.0383508
290000 0.0395332
292000 0.0382766
294000 0.0369721
296000 0.0357592
298000 0.0345244
300000 0.0353447
