# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
180 0.0484256 -3.39955
190 0.659622 -3.37411
200 0.819011 -3.28191
210 0.872247 -3.17998
220 0.894395 -3.12762
230 0.942546 -3.10495
240 0.975905 -3.0826
250 0.95365 -3.06619
260 0.972391 -3.05781
270 0.990119 -3.04438
280 0.981108 -3.03343
290 0.969817 -3.04815
300 0.993382 -3.05086
310 1.02771 -3.0404
320 1.02644 -3.02074
330 0.979088 -2.98782
340 0.999398 -2.9993
350 1.00451 -3.01862
360 0.915688 -3.00647
370 0.938319 -2.99918
380 1.05095 -3.00729
390 1.01542 -2.99
400 1.00168 -2.97282
410 1.00595 -2.9793
420 0.992358 -2.96819
430 0.984898 -2.97299
440 1.00631 -2.95467
450 1.00039 -2.94264
460 1.00679 -2.95931
470 1.00139 -2.95275
480 0.985689 -2.96619
490 0.974165 -2.9631
500 1.01045 -2.95879
510 0.989529 -2.96775
520 1.01302 -2.97966
530 1.00946 -2.97025
540 0.964941 -2.96848
550 1.01128 -2.98003
560 1.00133 -2.99543
570 0.949716 -2.98962
580 0.999184 -2.97877
590 0.993033 -2.98403
600 0.965411 -3.01052
610 0.977173 -3.03022
620 0.99125 -3.02306
630 0.979817 -3.01448
640 0.989415 -3.01657
650 0.96378 -2.97811
660 0.965365 -2.9858
670 1.00189 -2.9904
680 1.04255 -2.99275
690 1.01314 -2.9792
700 0.988976 -2.9512
710 0.97302 -2.93754
720 0.99191 -2.95816
730 1.03471 -2.99989
740 1.07812 -3.01105
750 0.992931 -2.98294
760 0.989185 -2.97119
770 1.03897 -2.97716
780 1.0516 -2.97584
790 0.985549 -2.9664
800 0.971925 -2.96065
810 1.0131 -2.95963
820 0.986418 -2.95329
830 0.961362 -2.95824
840 0.99469 -2.96544
850 1.02946 -2.95366
860 0.995376 -2.95158
870 1.02897 -2.9508
880 1.02363 -2.92504
890 0.992351 -2.91625
900 0.982193 -2.91609
910 0.998699 -2.93312
920 1.00994 -2.9318
930 1.02125 -2.91311
940 0.992538 -2.90789
950 0.955752 -2.90597
960 0.992051 -2.93197
970 1.00113 -2.94423
980 1.02101 -2.92449
990 0.956103 -2.90044
1000 0.932287 -2.90941
1010 0.983033 -2.92651
1020 1.01248 -2.94267
1030 1.01733 -2.93883
1040 0.97955 -2.91694
1050 0.977075 -2.90285
1060 1.02056 -2.9238
1070 1.00236 -2.93632
1080 1.01157 -2.92572
1090 0.977212 -2.89816
1100 1.0067 -2.89427
1110 1.00025 -2.90411
1120 1.02074 -2.93109
1130 1.0263 -2.9323
1140 0.970589 -2.92901
1150 0.939383 -2.9317
1160 0.96393 -2.9415
1170 0.997552 -2.94172
1180 0.998636 -2.95214
1190 0.9522 -2.94993
1200 0.958595 -2.94119
1210 1.01369 -2.94393
1220 0.992247 -2.9462
1230 1.04474 -2.93444
1240 1.00619 -2.9216
1250 0.957238 -2.90209
1260 0.988915 -2.91038
1270 1.01231 -2.90053
1280 0.983939 -2.87744
1290 0.9832 -2.88218
1300 1.04596 -2.90788
1310 1.09253 -2.91199
1320 0.964163 -2.8789
1330 0.992908 -2.88121
1340 0.937146 -2.88915
1350 0.931953 -2.87547
1360 0.999944 -2.87672
1370 1.01942 -2.89156
1380 1.08027 -2.91121
1390 1.01055 -2.91154
1400 1.05542 -2.9044
1410 1.01424 -2.91163
1420 0.967154 -2.89021
1430 0.985994 -2.8668
1440 0.985234 -2.88146
1450 1.03801 -2.89479
1460 1.03846 -2.88292
1470 1.02149 -2.8654
1480 0.971732 -2.8552
1490 0.951636 -2.86371
1500 0.978946 -2.88428
1510 0.976985 -2.89531
1520 0.940054 -2.89981
1530 0.969545 -2.90512
1540 1.01548 -2.89819
1550 1.00797 -2.88502
1560 0.975727 -2.88711
1570 0.948213 -2.88018
1580 1.0127 -2.87143
1590 1.02232 -2.87289
1600 0.992929 -2.87729
1610 0.954732 -2.85981
1620 0.97157 -2.8672
1630 1.01021 -2.89137
1640 1.05699 -2.90565
1650 1.00473 -2.89199
1660 0.998519 -2.87161
1670 0.967261 -2.85519
1680 1.01594 -2.8572
1690 1.03167 -2.857
1700 0.964231 -2.85061
1710 1.00153 -2.85318
1720 0.963018 -2.87667
1730 1.03963 -2.90608
1740 0.981934 -2.92698
1750 1.01009 -2.92901
1760 1.00472 -2.92084
1770 0.962419 -2.90898
1780 0.988865 -2.8922
1790 0.995523 -2.86697
1800 0.974382 -2.86533
1810 0.95876 -2.86486
1820 1.01215 -2.88624
1830 1.02467 -2.89628
1840 0.989433 -2.90255
1850 0.974735 -2.91082
1860 0.981712 -2.90268
1870 0.945477 -2.89415
1880 0.958741 -2.9032
1890 0.959384 -2.89147
1900 0.968086 -2.88735
1910 0.947384 -2.89686
1920 0.955427 -2.8903
1930 0.99384 -2.89032
1940 0.994787 -2.89011
1950 0.9727 -2.88322
1960 0.992728 -2.88536
1970 1.01325 -2.89437
1980 0.998528 -2.89264
1990 0.952251 -2.90502
2000 0.925015 -2.91567
2010 0.976916 -2.91274
2020 0.962964 -2.89959
2030 0.923994 -2.90119
2040 0.98794 -2.90137
2050 0.972921 -2.89774
2060 0.994471 -2.90276
2070 1.0004 -2.89026
2080 1.05162 -2.88249
2090 1.02396 -2.86032
2100 1.03512 -2.86233
2110 1.00032 -2.8545
2120 0.953763 -2.84553
2130 1.00656 -2.86705
2140 0.969683 -2.86581
2150 0.983833 -2.85614
2160 1.04367 -2.85372
2170 1.0059 -2.86017
2180 1.03912 -2.86892
2190 1.0524 -2.89576
2200 1.02406 -2.90074
2210 1.00454 -2.90431
2220 1.02259 -2.90152
2230 1.03677 -2.88645
2240 1.01838 -2.85498
2250 0.99381 -2.87424
2260 0.976981 -2.89224
2270 1.01548 -2.90632
2280 0.968198 -2.91242
2290 0.974604 -2.90966
2300 0.973646 -2.90602
2310 0.97118 -2.88395
2320 0.980464 -2.86319
2330 1.00239 -2.8485
2340 1.00519 -2.83997
2350 0.972062 -2.87608
2360 0.997385 -2.90067
2370 0.941014 -2.88771
2380 0.983235 -2.88299
2390 0.920029 -2.88016
2400 0.937957 -2.87828
2410 0.984606 -2.87205
2420 1.03198 -2.87477
2430 1.03709 -2.85764
2440 0.967971 -2.84603
2450 1.04746 -2.85484
2460 0.997182 -2.8457
2470 0.946351 -2.84185
2480 0.943767 -2.85406
2490 0.956082 -2.86992
2500 0.967077 -2.86181
2510 0.996813 -2.8772
2520 1.04441 -2.89457
2530 0.970498 -2.89552
2540 1.0037 -2.8902
2550 1.0134 -2.87086
2560 0.983356 -2.86774
2570 0.935877 -2.8764
2580 0.960762 -2.85619
2590 0.975639 -2.86271
2600 1.07441 -2.89076
2610 1.00432 -2.90359
2620 1.03949 -2.89481
2630 0.976082 -2.87993
2640 0.960887 -2.8656
2650 0.953834 -2.86548
2660 0.95215 -2.86346
2670 0.92819 -2.8525
2680 0.973257 -2.86444
2690 0.986496 -2.88776
2700 1.03491 -2.88153
2710 1.00913 -2.87258
2720 0.990179 -2.85889
2730 1.01615 -2.84667
2740 0.982845 -2.82946
2750 0.969625 -2.82109
2760 1.04307 -2.84055
2770 1.00611 -2.84282
2780 0.983772 -2.84631
2790 0.959015 -2.85573
2800 1.00174 -2.85989
2810 1.06146 -2.86801
2820 0.998716 -2.86102
2830 0.990598 -2.85453
2840 1.01162 -2.863
2850 1.00944 -2.85734
2860 0.93629 -2.83739
2870 0.929461 -2.83865
2880 0.938841 -2.83901
2890 0.972211 -2.85848
2900 0.989156 -2.85064
2910 0.990607 -2.84548
2920 1.01835 -2.84938
2930 0.972156 -2.8384
2940 0.986667 -2.81794
2950 0.987661 -2.82445
2960 0.964828 -2.82692
2970 0.997498 -2.83725
2980 1.01483 -2.84223
2990 0.972667 -2.83785
