# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -3903.14
200 -4036.36
300 -4018.69
400 -4190.52
500 -4085
600 -4232.5
700 -4125.53
800 -4316.17
900 -4311.15
1000 -4134.34
1100 -4011.34
1200 -4083.23
1300 -4127.11
1400 -4180.75
1500 -4119.91
1600 -4208.88
1700 -4387.82
1800 -4315.14
1900 -4235.05
2000 -4087.28
2100 -4238.15
2200 -4084.25
2300 -4020.46
2400 -4309
2500 -4139.03
2600 -4250.08
2700 -4193.87
2800 -4222.29
2900 -4100.08
3000 -3967.23
3100 -4022.73
3200 -3986.88
3300 -4219.23
3400 -4118.62
3500 -4121.02
3600 -3997.36
3700 -4023.87
3800 -4237.69
3900 -4265.5
4000 -4313.44
4100 -4299.3
4200 -4043.13
4300 -4113.56
4400 -4158.07
4500 -4308.69
4600 -4210.11
4700 -4006.71
4800 -4057.08
4900 -4327.56
5000 -4161.48
5100 -4145.96
5200 -4093.74
5300 -4177.53
5400 -4223.05
5500 -4431.05
5600 -4424.45
5700 -4358.09
5800 -4169.03
5900 -4117.83
6000 -4145.88
6100 -4295.8
6200 -4303.12
6300 -4388.56
6400 -4233.15
6500 -4110.98
6600 -4171.27
6700 -4281.19
6800 -4234.62
6900 -4274.17
7000 -4092.93
7100 -4280.15
7200 -4524.67
7300 -4387.55
7400 -4269.96
7500 -4271.45
7600 -4152.38
7700 -4428.27
7800 -4261.13
7900 -4278.71
8000 -4083.75
8100 -4150.34
8200 -4286.48
8300 -4333.73
8400 -4296.66
8500 -4323.91
8600 -4214.04
8700 -4219.04
8800 -4296.73
8900 -4233.47
9000 -4174.72
9100 -4155.35
9200 -4170.88
9300 -4302.97
9400 -4388.69
9500 -4269.49
9600 -4279.77
9700 -4328.03
9800 -4389.75
9900 -4309.24
10000 -4268.08
