# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 318.011
200 306.417
300 303.973
400 298.054
500 299.421
600 296.464
700 289.637
800 288.993
900 301.551
1000 308.994
1100 302.196
1200 296.243
1300 300.163
1400 301.462
1500 302.719
1600 293.898
1700 285.438
1800 290.235
1900 299.439
2000 305.01
2100 294.081
2200 305.763
2300 306.404
2400 299.388
2500 305.059
2600 301.448
2700 295.132
2800 291.847
2900 302.888
3000 310.859
3100 299.906
3200 305.493
3300 296.281
3400 294.426
3500 297.703
3600 303.689
3700 303.456
3800 297.066
3900 290.442
4000 293.503
4100 297.478
4200 304.472
4300 306.42
4400 297.542
4500 289.749
4600 302.899
4700 304.353
4800 295.232
4900 286.938
5000 296.479
5100 308.921
5200 300.16
5300 297.549
5400 297.684
5500 285.513
5600 287.822
5700 298.875
5800 293.932
5900 301.718
6000 309.26
6100 301.494
6200 293.108
6300 297.042
6400 299.896
6500 303.814
6600 301.936
6700 298.29
6800 294.573
6900 296.249
7000 310.463
7100 311.567
7200 293.225
7300 301.691
7400 298.073
7500 301
7600 301.641
7700 297.3
7800 295.127
7900 297.344
8000 306.012
8100 305.809
8200 298.719
8300 292.683
8400 296.158
8500 292.198
8600 290.006
8700 300.457
8800 300.793
8900 301.18
9000 305.257
9100 316.754
9200 302.385
9300 299.11
9400 297.694
9500 302.876
9600 301.47
9700 291.69
9800 292.818
9900 294.069
10000 294.845
