# Time-averaged data for fix myat2
# TimeStep v_myvol
100 13935.8
200 13942.2
300 13945.5
400 13955.6
500 13956.1
600 13955.2
700 13937
800 13915.6
900 13871.1
1000 13781.4
1100 13682.3
1200 13607.5
1300 13558.3
1400 13539.1
1500 13541.8
1600 13573.1
1700 13600.8
1800 13605.2
1900 13605.6
2000 13602.6
2100 13600.7
2200 13600.4
2300 13620.1
2400 13653.3
2500 13669.3
2600 13672.6
2700 13651.8
2800 13611.5
2900 13572.9
3000 13555.8
3100 13562.3
3200 13578.2
3300 13597.3
3400 13589.5
3500 13568.3
3600 13549.6
3700 13550
3800 13568.5
3900 13585.7
4000 13593.3
4100 13583.6
4200 13551.1
4300 13530.1
4400 13520.8
4500 13509.4
4600 13468.6
4700 13420.4
4800 13404.9
4900 13420.7
5000 13437.4
5100 13460.7
5200 13505.1
5300 13562.5
5400 13621.7
5500 13692.4
5600 13749.9
5700 13785.5
5800 13813.1
5900 13853.1
6000 13907.2
6100 13950
6200 13955.9
6300 13954
6400 13951.5
6500 13943.6
6600 13946
6700 13957.9
6800 13957.1
6900 13968.5
7000 13989.9
7100 14031.3
7200 14058.5
7300 14041.6
7400 14007.9
7500 13976.2
7600 13943.5
7700 13932.3
7800 13910
7900 13875.1
8000 13838
8100 13817.7
8200 13796.7
8300 13763
8400 13730.1
8500 13707
8600 13689.6
8700 13702.6
8800 13742.9
8900 13785.9
9000 13834.9
9100 13893.1
9200 13950.4
9300 13988.3
9400 14005.2
9500 13987.2
9600 13960.7
9700 13936.2
9800 13901.8
9900 13852.8
10000 13792.6
