# Time-averaged data for fix myat1
# TimeStep v_Ntype1in v_Ntype1ou
2000 12.135 987.865
4000 33.945 966.055
6000 41.215 958.785
8000 46.13 953.87
10000 44.175 955.825
12000 49.25 950.75
14000 54.01 945.99
16000 58.055 941.945
18000 64.48 935.52
20000 66.845 933.155
22000 68.76 931.24
24000 73.03 926.97
26000 74.435 925.565
28000 80.5 919.5
30000 87.01 912.99
32000 87.47 912.53
34000 91.125 908.875
36000 91.76 908.24
38000 91.525 908.475
40000 92.51 907.49
42000 92.865 907.135
44000 98.855 901.145
46000 98.275 901.725
48000 102.42 897.58
50000 107.33 892.67
52000 109.515 890.485
54000 110.82 889.18
56000 114.58 885.42
58000 115.235 884.765
60000 117.7 882.3
62000 123.085 876.915
64000 121.55 878.45
66000 123.905 876.095
68000 113.75 886.25
70000 113.48 886.52
72000 120.685 879.315
74000 122.86 877.14
76000 127.065 872.935
78000 130.245 869.755
80000 135.06 864.94
82000 134.52 865.48
84000 134.1 865.9
86000 128.365 871.635
88000 128.265 871.735
90000 132.295 867.705
92000 135.175 864.825
94000 135.145 864.855
96000 135.755 864.245
98000 136.4 863.6
100000 141.705 858.295
102000 142.005 857.995
104000 138.975 861.025
106000 137.585 862.415
108000 139.935 860.065
110000 141.195 858.805
112000 144.615 855.385
114000 145.045 854.955
116000 147.95 852.05
118000 149.445 850.555
120000 151.235 848.765
122000 148.405 851.595
124000 153.89 846.11
126000 158.715 841.285
128000 158.86 841.14
130000 157.11 842.89
132000 151.81 848.19
134000 152.04 847.96
136000 150.315 849.685
138000 146.43 853.57
140000 143.785 856.215
142000 148.405 851.595
144000 151.04 848.96
146000 146.175 853.825
148000 149.395 850.605
150000 152.485 847.515
152000 151.17 848.83
154000 150.065 849.935
156000 154.62 845.38
158000 157.115 842.885
160000 155.67 844.33
162000 158.54 841.46
164000 162.555 837.445
166000 163.945 836.055
168000 158.265 841.735
170000 163.755 836.245
172000 171.565 828.435
174000 174.835 825.165
176000 169.63 830.37
178000 170.385 829.615
180000 177.135 822.865
182000 183.37 816.63
184000 180.68 819.32
186000 179.2 820.8
188000 180.34 819.66
190000 180.15 819.85
192000 170.745 829.255
194000 176.99 823.01
196000 174.905 825.095
198000 182.355 817.645
200000 188.635 811.365
202000 182.98 817.02
204000 178.375 821.625
206000 175.745 824.255
208000 176.495 823.505
210000 179.53 820.47
212000 179.805 820.195
214000 184.275 815.725
216000 183.83 816.17
218000 185.82 814.18
220000 188.135 811.865
222000 180.32 819.68
224000 177.205 822.795
226000 178.045 821.955
228000 184.16 815.84
230000 176.775 823.225
232000 173.825 826.175
234000 174.07 825.93
236000 176.36 823.64
238000 175.275 824.725
240000 170.6 829.4
242000 179.425 820.575
244000 180.675 819.325
246000 185.96 814.04
248000 178.94 821.06
250000 180.65 819.35
252000 184.905 815.095
254000 188.505 811.495
256000 179.525 820.475
258000 178.75 821.25
260000 180.205 819.795
262000 181.575 818.425
264000 188.81 811.19
266000 190.055 809.945
268000 188.42 811.58
270000 192.705 807.295
272000 187.83 812.17
274000 183.275 816.725
276000 182.6 817.4
278000 187.39 812.61
280000 185.405 814.595
282000 183.82 816.18
284000 188.755 811.245
286000 191.72 808.28
288000 191.94 808.06
290000 195.53 804.47
292000 197.67 802.33
294000 198.395 801.605
296000 195.205 804.795
298000 194.31 805.69
300000 187.62 812.38
