# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.00648609
200 0.0065442
300 0.0066128
400 0.00670047
500 0.00682788
600 0.00697849
700 0.00713225
800 0.00728137
900 0.0074288
1000 0.00758671
1100 0.00775291
1200 0.00790833
1300 0.00804928
1400 0.00820291
1500 0.00833143
1600 0.00846159
1700 0.00858491
1800 0.00872091
1900 0.00885134
2000 0.0089803
2100 0.00911252
2200 0.00923767
2300 0.00937732
2400 0.00953017
2500 0.00968345
2600 0.00980591
2700 0.00994618
2800 0.0101097
2900 0.0102431
3000 0.0103672
3100 0.0105173
3200 0.010657
3300 0.0107824
3400 0.0108949
3500 0.0110563
3600 0.0112422
3700 0.0114239
3800 0.0116048
3900 0.011772
4000 0.0119519
4100 0.0121222
4200 0.0122899
4300 0.0124483
4400 0.012611
4500 0.0127752
4600 0.0129553
4700 0.013184
4800 0.0134177
4900 0.0135975
5000 0.0137347
5100 0.013902
5200 0.0140908
5300 0.014283
5400 0.0144931
5500 0.0146989
5600 0.0149194
5700 0.0151794
5800 0.015429
5900 0.015655
6000 0.015916
6100 0.0161361
6200 0.0163226
6300 0.0165158
6400 0.0167656
6500 0.0170138
6600 0.0172473
6700 0.01745
6800 0.0176256
6900 0.0178434
7000 0.0180842
7100 0.0183069
7200 0.0184911
7300 0.0187286
7400 0.0190112
7500 0.0192443
7600 0.0194082
7700 0.0195278
7800 0.0196181
7900 0.0197203
8000 0.01984
8100 0.0200282
8200 0.0203282
8300 0.0206639
8400 0.0209318
8500 0.0212216
8600 0.0214972
8700 0.0218099
8800 0.0221626
8900 0.0225059
9000 0.0227963
9100 0.0230384
9200 0.0233307
9300 0.0235741
9400 0.023789
9500 0.0240251
9600 0.0242525
9700 0.0243805
9800 0.0244745
9900 0.024615
10000 0.0248338
10100 0.0251938
10200 0.0255893
10300 0.025954
10400 0.0263431
10500 0.0267672
10600 0.027172
10700 0.0274694
10800 0.0276546
10900 0.0278374
11000 0.0281058
11100 0.0283029
11200 0.0284031
11300 0.0284909
11400 0.0286465
11500 0.028805
11600 0.0289755
11700 0.02928
11800 0.0296736
11900 0.0300484
12000 0.0302684
12100 0.0302387
12200 0.0301403
12300 0.0302834
12400 0.0304871
12500 0.0305352
12600 0.0305665
12700 0.0306694
12800 0.0308537
12900 0.0309799
13000 0.0310378
13100 0.0311137
13200 0.0312972
13300 0.0315085
13400 0.0317845
13500 0.0319691
13600 0.0319896
13700 0.031973
13800 0.032076
13900 0.0321391
14000 0.0320866
14100 0.0319753
14200 0.0320012
14300 0.0320817
14400 0.0320821
14500 0.0320456
14600 0.0320132
14700 0.0319701
14800 0.0318796
14900 0.0317603
15000 0.0317829
15100 0.0319688
15200 0.0321363
15300 0.0321223
15400 0.0320088
15500 0.0319242
15600 0.0319388
15700 0.0319034
15800 0.031967
15900 0.0322626
16000 0.0325771
16100 0.032634
16200 0.0325496
16300 0.0325149
16400 0.0326182
16500 0.0327813
16600 0.0329101
16700 0.0328384
16800 0.0327491
16900 0.032683
17000 0.0325679
17100 0.032518
17200 0.0325261
17300 0.0326814
17400 0.0329786
17500 0.0332121
17600 0.0333186
17700 0.0332955
17800 0.0331876
17900 0.0331286
18000 0.03309
18100 0.0329628
18200 0.0327983
18300 0.0327619
18400 0.0327226
18500 0.0327637
18600 0.0329154
18700 0.0330161
18800 0.0329798
18900 0.0328983
19000 0.0328418
19100 0.0327272
19200 0.0325625
19300 0.0324507
19400 0.0323706
19500 0.0323142
19600 0.0322715
19700 0.0321756
19800 0.0321674
19900 0.0321492
20000 0.032271
20100 0.0325755
20200 0.0328564
20300 0.0329994
20400 0.0330348
20500 0.0330069
20600 0.0329078
20700 0.0328138
20800 0.0327964
20900 0.0329787
21000 0.0332238
21100 0.033313
21200 0.0332205
21300 0.0331644
21400 0.0330789
21500 0.0330055
21600 0.0329376
21700 0.0328747
21800 0.0329015
21900 0.0330175
22000 0.0330871
22100 0.0331372
22200 0.0331569
22300 0.0330919
22400 0.0330184
22500 0.0329737
22600 0.033007
22700 0.0330899
22800 0.0332316
22900 0.0333837
23000 0.0334615
23100 0.0334229
23200 0.0333737
23300 0.0334262
23400 0.0334099
23500 0.0332674
23600 0.0332095
23700 0.0332511
23800 0.0333261
23900 0.033273
24000 0.033106
24100 0.0329871
24200 0.033145
24300 0.0333717
24400 0.0334797
24500 0.0334576
24600 0.033424
24700 0.0334365
24800 0.0334759
24900 0.0335103
25000 0.0335211
