# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 429.264
200 463.304
300 435.035
400 391.855
500 362.022
600 351.84
700 343.216
800 340.847
900 322.318
1000 303.895
1100 309.026
1200 305.615
1300 300.894
1400 299.954
1500 299.755
1600 298.153
1700 296.478
1800 310.114
1900 305.137
2000 303.741
2100 294.878
2200 289.594
2300 298.68
2400 310.308
2500 304.271
2600 298.714
2700 302.629
2800 299.794
2900 299.605
3000 287.78
3100 305.169
3200 304.17
3300 300.686
3400 305.287
3500 297.437
3600 299.071
3700 295.125
3800 299.981
3900 306.478
4000 305.914
4100 296.01
4200 295.224
4300 295.069
4400 306.514
4500 301.179
4600 300.52
4700 301.089
4800 299.446
4900 293.443
5000 298.9
5100 313.683
5200 313.706
5300 298.57
5400 292.684
5500 303.329
5600 306.19
5700 302.835
5800 302.727
5900 296.555
6000 300.583
6100 301.03
6200 302.385
6300 303.641
6400 298.738
6500 301.323
6600 298.925
6700 298.845
6800 294.945
6900 295.35
7000 306.423
7100 312.738
7200 303.768
7300 300.952
7400 297.855
7500 297.714
7600 289.686
7700 292.732
7800 301.518
7900 301.951
8000 304.173
8100 298.601
8200 291.073
8300 292.263
8400 305.152
8500 309.152
8600 295.832
8700 295.972
8800 293.614
8900 306.65
9000 303.391
9100 298.428
9200 306.781
9300 296.554
9400 295.56
9500 298.61
9600 304.688
9700 303.726
9800 306.705
9900 308.365
10000 299.999
10100 296.731
10200 303.946
10300 295.192
10400 289.958
10500 292.575
10600 298.798
10700 302.6
10800 304.658
10900 296.25
11000 294.609
11100 302.053
11200 303.342
11300 300.34
11400 314.803
11500 308.045
11600 299.803
11700 300.577
11800 302.974
11900 297.621
12000 291.79
12100 299.406
12200 295.695
12300 301.695
12400 310.102
12500 306.378
12600 299.844
12700 292.27
12800 306.096
12900 307.587
13000 302.444
13100 294.542
13200 295.553
13300 301.611
13400 309.234
13500 306.368
13600 303.616
13700 291.463
13800 301.373
13900 307.603
14000 302.601
14100 295.487
14200 291.29
14300 301.396
14400 297
14500 301.074
14600 305.033
14700 313.803
14800 312.357
14900 305.917
15000 296.168
15100 300.223
15200 306.635
15300 291.368
15400 293.843
15500 297.956
15600 307.779
15700 298.661
15800 296.275
15900 304.369
16000 312.514
16100 303.353
16200 297.022
16300 294.149
16400 299.889
16500 305.154
16600 310.105
16700 302.317
16800 296.734
16900 299.753
17000 299.94
17100 300.227
17200 293.606
17300 288.89
17400 295.844
17500 299.766
17600 301.919
17700 303.445
17800 294.919
17900 291.116
18000 295.607
18100 301.731
18200 299.767
18300 303.251
18400 310.01
18500 293.081
18600 299.507
18700 299.105
18800 297.015
18900 300.5
19000 306.891
19100 302.015
19200 301.541
19300 297.318
19400 296.469
19500 304.021
19600 300.376
19700 287.409
19800 300.574
19900 310.314
20000 299.028
20100 298.547
20200 297.388
20300 299.819
20400 297.028
20500 297.555
20600 304.319
20700 307.238
20800 298.273
20900 298.507
21000 302.911
21100 302.965
21200 293.971
21300 298.888
21400 311.029
21500 310.175
21600 301.064
21700 297.594
21800 295.922
21900 302.444
22000 308.898
22100 306.75
22200 302.122
22300 306.154
22400 294.212
22500 296.646
22600 304.39
22700 307.901
22800 303.636
22900 298.629
23000 294.035
23100 298.027
23200 296.824
23300 302.431
23400 300.11
23500 304.929
23600 290.174
23700 291.346
23800 303.414
23900 312.343
24000 298.627
24100 291.435
24200 307.831
24300 311.252
24400 303.628
24500 293.93
24600 301.845
24700 305.301
24800 291.476
24900 291.867
25000 302.557
