# Time-averaged data for fix myat2
# TimeStep v_myvol
100 72000.3
200 71361.7
300 70621.2
400 69698.2
500 68398.4
600 66922.7
700 65479.7
800 64138.4
900 62865.5
1000 61557.4
1100 60237.7
1200 59053.1
1300 58019.3
1400 56932.5
1500 56053.7
1600 55191.7
1700 54398.8
1800 53550.5
1900 52761.4
2000 52003.6
2100 51249
2200 50554.7
2300 49802
2400 49003.4
2500 48227.4
2600 47624.9
2700 46953.6
2800 46194.2
2900 45592.2
3000 45046.5
3100 44403.8
3200 43821.4
3300 43311.7
3400 42864.5
3500 42239.4
3600 41541
3700 40880
3800 40242.6
3900 39671.2
4000 39074.2
4100 38524.9
4200 37999.2
4300 37515.7
4400 37031.7
4500 36555.6
4600 36047.8
4700 35422.9
4800 34805.6
4900 34345
5000 34001.8
5100 33592.9
5200 33142.7
5300 32696.8
5400 32222.9
5500 31771.5
5600 31302.2
5700 30766.1
5800 30268.2
5900 29831.3
6000 29342.1
6100 28941.7
6200 28611
6300 28276.4
6400 27855.1
6500 27448.7
6600 27077.1
6700 26762.4
6800 26495.9
6900 26172.5
7000 25824
7100 25509.8
7200 25255.6
7300 24935.5
7400 24564.9
7500 24267.1
7600 24062.1
7700 23914.7
7800 23804.6
7900 23681.3
8000 23538.5
8100 23317.3
8200 22973.6
8300 22600.2
8400 22310.8
8500 22006.2
8600 21724.1
8700 21412.7
8800 21072
8900 20750.5
9000 20485.9
9100 20270.8
9200 20016.7
9300 19810
9400 19631
9500 19438.2
9600 19255.9
9700 19154.7
9800 19081.1
9900 18972.2
10000 18805.2
10100 18536.7
10200 18250.1
10300 17993.6
10400 17727.9
10500 17447.1
10600 17187
10700 17000.9
10800 16886.9
10900 16776.1
11000 16615.9
11100 16500.1
11200 16441.9
11300 16391.2
11400 16302.2
11500 16212.5
11600 16117.1
11700 15949.7
11800 15738.1
11900 15541.7
12000 15428.7
12100 15443.8
12200 15494.2
12300 15421.1
12400 15318
12500 15293.8
12600 15278.2
12700 15226.9
12800 15136
12900 15074.3
13000 15046.2
13100 15009.5
13200 14921.5
13300 14821.5
13400 14692.8
13500 14607.9
13600 14598.5
13700 14606.1
13800 14559.2
13900 14530.6
14000 14554.4
14100 14605
14200 14593.2
14300 14556.6
14400 14556.4
14500 14573
14600 14587.7
14700 14607.4
14800 14648.9
14900 14703.9
15000 14693.5
15100 14608.1
15200 14531.9
15300 14538.2
15400 14589.8
15500 14628.4
15600 14621.7
15700 14637.9
15800 14608.9
15900 14475.2
16000 14335.2
16100 14310.2
16200 14347.3
16300 14362.6
16400 14317.2
16500 14245.9
16600 14190.2
16700 14221.2
16800 14260
16900 14288.8
17000 14339.3
17100 14361.3
17200 14357.7
17300 14289.6
17400 14160.8
17500 14061.2
17600 14016.2
17700 14025.9
17800 14071.5
17900 14096.6
18000 14113
18100 14167.5
18200 14238.6
18300 14254.4
18400 14271.5
18500 14253.6
18600 14187.9
18700 14144.6
18800 14160.2
18900 14195.3
19000 14219.7
19100 14269.5
19200 14341.7
19300 14391.1
19400 14426.7
19500 14451.8
19600 14471
19700 14514.1
19800 14517.8
19900 14526
20000 14471.3
20100 14336.1
20200 14213.4
20300 14151.8
20400 14136.6
20500 14148.6
20600 14191.2
20700 14231.8
20800 14239.4
20900 14160.7
21000 14056.2
21100 14018.5
21200 14057.6
21300 14081.4
21400 14117.8
21500 14149.2
21600 14178.3
21700 14205.4
21800 14193.9
21900 14144
22000 14114.3
22100 14092.9
22200 14084.6
22300 14112.2
22400 14143.6
22500 14162.8
22600 14148.5
22700 14113.1
22800 14052.9
22900 13988.9
23000 13956.3
23100 13972.5
23200 13993.1
23300 13971.1
23400 13977.9
23500 14037.8
23600 14062.3
23700 14044.7
23800 14013
23900 14035.4
24000 14106.2
24100 14157
24200 14089.7
24300 13993.9
24400 13948.7
24500 13958
24600 13972
24700 13966.8
24800 13950.3
24900 13936
25000 13931.5
