# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 2849.81
200 3411.8
300 1329.61
400 869.524
500 623.651
600 481.263
700 397.84
800 366.537
900 355.052
1000 327.536
1100 318.129
1200 321.34
1300 307.375
1400 302.068
1500 310.882
1600 307.796
1700 290.344
1800 310.019
1900 303.063
2000 294.876
2100 298.47
2200 298.48
2300 304.288
2400 308.116
2500 296.876
2600 308.175
2700 303.935
2800 294.693
2900 290.833
3000 298.875
3100 303.354
3200 289.906
3300 290.821
3400 302.068
3500 288.33
3600 296.645
3700 294.199
3800 309.729
3900 302.479
4000 289.943
4100 301.847
4200 294.367
4300 292.596
4400 300.828
4500 296.66
4600 301.565
4700 290.368
4800 290.313
4900 294.598
5000 304.853
5100 308.099
5200 303.394
5300 302.951
5400 295.619
5500 299.978
5600 308.144
5700 314.97
5800 301.743
5900 307.583
6000 292.433
6100 312.601
6200 307.525
6300 296.585
6400 303.777
6500 302.837
6600 290.454
6700 304.797
6800 295.187
6900 300.38
7000 299.95
7100 304.739
7200 292.272
7300 301.713
7400 291.364
7500 301.101
7600 303.97
7700 313.674
7800 296.453
7900 278.708
8000 301.39
8100 307.615
8200 289.342
8300 309.359
8400 297.815
8500 294.661
8600 310.131
8700 301.573
8800 300.53
8900 309.829
9000 286.736
9100 292.233
9200 295.247
9300 302.19
9400 290.351
9500 305.532
9600 307.296
9700 299.067
9800 305.208
9900 298.765
10000 306.367
